"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Document Type,Legal Status
223,WO,A1,WO 2018/222742 A1,133-830-847-132-697,2018-12-06,2018,US 2018/0035171 W,2018-05-30,2017-05-30,"COLD PROCESSABLE EMULSION CONCENTRATES PROVIDING DESIRABLE SENSORY PROPERTIES, END USE FORMULATIONS CONTAINING THE EMULSION CONCENTRATES AND RELATED METHODS",INOLEX INVESTMENT CORP,ZHUANG ZIJIE;;BURGO ROCCO;;CHEN MEI,,https://lens.org/133-830-847-132-697,Patent Application,PENDING
224,US,A1,US 2017/0058339 A1,019-258-346-156-28X,2017-03-02,2017,US 201615349906 A,2016-11-11,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/019-258-346-156-28X,Patent Application,ACTIVE
225,US,B2,US 11339432 B2,038-775-746-671-429,2022-05-24,2022,US 202117237962 A,2021-04-22,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/038-775-746-671-429,Granted Patent,ACTIVE
226,US,A1,US 2020/0048702 A1,168-236-391-195-216,2020-02-13,2020,US 201916659428 A,2019-10-21,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/168-236-391-195-216,Patent Application,ACTIVE
227,US,B2,US 10119165 B2,185-957-229-927-702,2018-11-06,2018,US 201615349927 A,2016-11-11,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/185-957-229-927-702,Granted Patent,ACTIVE
228,CN,A,CN 102533738 A,008-863-582-441-863,2012-07-04,2012,CN 201210068841 A,2012-03-15,2012-03-15,"Gene synthesizing method, gene chip and kit",JINGDONG TIAN,JINGDONG TIAN,"GENERAL BIOLOGICAL SYSTEMS CO., LTD. (2014-08-11)",https://lens.org/008-863-582-441-863,Patent Application,ACTIVE
229,US,A1,US 2016/0024576 A1,071-880-044-725-542,2016-01-28,2016,US 201514723332 A,2015-05-27,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2015-06-26),https://lens.org/071-880-044-725-542,Patent Application,ACTIVE
230,US,B2,US 10000800 B2,109-815-835-932-771,2018-06-19,2018,US 201615224253 A,2016-07-29,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/109-815-835-932-771,Granted Patent,ACTIVE
231,US,A1,US 2021/0238670 A1,117-452-940-703-76X,2021-08-05,2021,US 202117237948 A,2021-04-22,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/117-452-940-703-76X,Patent Application,ACTIVE
232,US,A1,US 2017/0058340 A1,157-618-453-299-761,2017-03-02,2017,US 201615349929 A,2016-11-11,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/157-618-453-299-761,Patent Application,ACTIVE
233,US,A1,US 2020/0048703 A1,153-440-905-916-011,2020-02-13,2020,US 201916659434 A,2019-10-21,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/153-440-905-916-011,Patent Application,ACTIVE
234,US,B2,US 11499187 B2,010-802-681-994-44X,2022-11-15,2022,US 201916659425 A,2019-10-21,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/010-802-681-994-44X,Granted Patent,ACTIVE
235,US,A1,US 2012/0065081 A1,120-167-053-112-264,2012-03-15,2012,US 201013266568 A,2010-04-29,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,CHEE MARK S,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/120-167-053-112-264,Patent Application,ACTIVE
236,US,B2,US 10266883 B2,073-126-494-096-964,2019-04-23,2019,US 201615349906 A,2016-11-11,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/073-126-494-096-964,Granted Patent,ACTIVE
237,WO,A1,WO 2010/127186 A1,110-499-596-670-324,2010-11-04,2010,US 2010/0033064 W,2010-04-29,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC;;CHEE MARK S,CHEE MARK S,,https://lens.org/110-499-596-670-324,Patent Application,PENDING
238,US,A1,US 2019/0275199 A1,042-135-395-872-868,2019-09-12,2019,US 201916296776 A,2019-03-08,2018-03-09,PRINTING OF BIOPOLYMERS FROM IONIC LIQUID,UNIV ALABAMA;;525 SOLUTIONS INC,ROGERS ROBIN D;;ZAVGORODNYA OLEKSANDRA;;SHAMSHINA JULIA L;;GURAU GABRIELA,525 SOLUTIONS INC (2018-03-21);;THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA (2018-03-20),https://lens.org/042-135-395-872-868,Patent Application,DISCONTINUED
239,WO,A2,WO 2012/106281 A2,044-552-464-256-197,2012-08-09,2012,US 2012/0023221 W,2012-01-31,2011-01-31,MULTIMODAL TRAIL MOLECULES AND USES IN CELLULAR THERAPIES,GEN HOSPITAL CORP;;SHAH KHALID,SHAH KHALID,,https://lens.org/044-552-464-256-197,Patent Application,PENDING
240,US,B2,US 10266884 B2,003-176-313-150-367,2019-04-23,2019,US 201615372159 A,2016-12-07,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/003-176-313-150-367,Granted Patent,ACTIVE
241,US,B2,US 11447822 B2,169-955-335-802-955,2022-09-20,2022,US 201916659428 A,2019-10-21,2009-04-30,Nucleic acid constructs and methods of use,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/169-955-335-802-955,Granted Patent,ACTIVE
242,CN,A,CN 111187726 A,075-060-818-421-318,2020-05-22,2020,CN 201910963020 A,2019-10-11,2019-10-11,Rice blast bactericide prepared by taking lysinibacillus boronitolerans as chassis cell,UNIV HAINAN,LIU ZHU;;YAN CHENGLIANG;;MA XIANG;;TANG YANQIONG;;LI HONG;;GAO YUXIAO;;LIN MIN,,https://lens.org/075-060-818-421-318,Patent Application,ACTIVE
243,US,A1,US 2016/0333403 A1,066-085-217-947-888,2016-11-17,2016,US 201615224253 A,2016-07-29,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2011-10-27),https://lens.org/066-085-217-947-888,Patent Application,ACTIVE
244,CN,A,CN 102286097 A,057-025-854-303-013,2011-12-21,2011,CN 201110165331 A,2011-06-20,2011-06-20,"Synthetic pokeweed antiviral protein (PAP) antigen and antibody, and preparation method and application thereof",INST PLANT PROTECTION IPP CAAS,LI LI;;XIFENG WANG;;YU LI;;GUANGHE ZHOU;;YAN LIU;;BEILEI WU,,https://lens.org/057-025-854-303-013,Patent Application,INACTIVE
245,WO,A1,WO 2021/258205 A1,077-229-824-311-274,2021-12-30,2021,CA 2021050863 W,2021-06-23,2020-06-23,PRO-MICROBIAL SURFACE,LULULEMON ATHLETICA CANADA INC,WAN LYNN YUQIN;;GATHERCOLE ROBERT JOHN;;MCGEE TIMOTHY RYAN,,https://lens.org/077-229-824-311-274,Patent Application,PENDING
246,US,A1,US 2017/0191927 A1,002-467-550-873-191,2017-07-06,2017,US 201515314034 A,2015-05-28,2014-05-28,IMPROVED MOLECULAR DETECTION SYSTEM,UNIV BIRMINGHAM,DAFFORN TIMOTHY;;HICKS MATTHEW,THE UNIVERSITY OF BIRMINGHAM (2016-12-08),https://lens.org/002-467-550-873-191,Patent Application,ACTIVE
247,US,A1,US 2020/0332371 A1,011-139-399-870-898,2020-10-22,2020,US 201716305298 A,2017-06-06,2016-06-06,PROXIMITY-DEPENDENT SPLIT RNA POLYMERASES AS A VERSATILE BIOSENSOR PLATFORM,UNIV CHICAGO,DICKINSON BRYAN C;;PU JINYUE;;ZINKUS JULIA,THE UNIVERSITY OF CHICAGO (2016-10-06),https://lens.org/011-139-399-870-898,Patent Application,DISCONTINUED
248,WO,A1,WO 2009/048971 A1,062-242-382-627-109,2009-04-16,2009,US 2008/0079229 W,2008-10-08,2007-10-08,SYSTEM AND METHOD FOR PRODUCING SYNTHETIC MICROORGANISMS CAPABLE OF TRANSLATING PROTEINS CONTAINING NON-STANDARD AMINO ACIDS,SYNTHETIC GENOMICS INC;;KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,,https://lens.org/062-242-382-627-109,Patent Application,PENDING
249,WO,A1,WO 2021/068556 A1,057-580-064-894-085,2021-04-15,2021,CN 2020097735 W,2020-06-23,2019-10-11,RICE BLAST FUNGICIDE PREPARED USING LYSINIBACILLUS BORONITOLERANS AS CHASSIS CELL,UNIV HAINAN,LIU ZHU;;YAN CHENGLIANG;;MA XIANG;;TANG YANQIONG;;LI HONG;;GAO YUXIAO;;LIN MIN,,https://lens.org/057-580-064-894-085,Patent Application,PENDING
250,WO,A3,WO 2017/212400 A3,149-526-120-678-757,2018-03-29,2018,IB 2017053324 W,2017-06-06,2016-06-06,PROXIMITY-DEPENDENT SPLIT RNA POLYMERASES AS A VERSATILE BIOSENSOR PLATFORM,UNIV CHICAGO,DICKINSON BRYAN C;;PU JINYUE;;ZINKUS JULIA,,https://lens.org/149-526-120-678-757,Search Report,PENDING
251,WO,A1,WO 2019/103981 A1,193-031-311-442-115,2019-05-31,2019,US 2018/0061882 W,2018-11-19,2017-11-22,METHODS AND SYSTEMS FOR ENGINEERING COLLAGEN,GELTOR INC,PERSIKOV ANTON V;;OUZOUNOV NIKOLAY;;LORESTANI ALEXANDER,,https://lens.org/193-031-311-442-115,Patent Application,PENDING
252,WO,A1,WO 2015/181546 A1,026-323-617-095-83X,2015-12-03,2015,GB 2015051544 W,2015-05-28,2014-05-28,IMPROVED MOLECULAR DETECTION SYSTEM,UNIV BIRMINGHAM,DAFFORN TIMOTHY;;HICKS MATTHEW,,https://lens.org/026-323-617-095-83X,Patent Application,PENDING
253,GB,A,GB 2582108 A,128-348-404-688-657,2020-09-09,2020,GB 202008402 A,2018-11-19,2017-11-22,Methods and systems for engineering collagen,GELTOR INC,ANTON V PERSIKOV;;NIKOLAY OUZOUNOV;;ALEXANDER LORESTANI,,https://lens.org/128-348-404-688-657,Patent Application,ACTIVE
254,WO,A1,WO 2023/035469 A1,022-098-687-325-81X,2023-03-16,2023,CN 2021138252 W,2021-12-15,2021-09-13,"SARINGOSTEROL SYNTHETASE, AND PREPARATION METHOD THEREFOR AND USE THEREOF",UNIV HAINAN,LU YANDU;;ZHOU WENXU;;ZHANG XU;;GAN QINHUA,,https://lens.org/022-098-687-325-81X,Patent Application,PENDING
255,RU,C1,RU 2104284 C1,164-551-176-266-530,1998-02-10,1998,RU 94039528 A,1994-10-20,1994-10-20,"SYNTHETIC OLIGOYPEPTIDES SPECIFICALLY INTERACTING WITH ANTIBODIES RAISED TO HEPATITIS C VIRUS, METHODS OF DIAGNOSIS HCV-INFECTION (VARIANTS)",D I IVANOVSKOGO RAMN;;NI SKIJ I VIRUSOLOGII IM,FIRSOVA T V;;SEMILETOV JU A;;SHIBNEV V A,,https://lens.org/164-551-176-266-530,Granted Patent,EXPIRED
256,US,A1,US 2020/0184381 A1,080-527-600-417-428,2020-06-11,2020,US 201816462196 A,2018-11-19,2017-11-22,METHODS AND SYSTEMS FOR ENGINEERING COLLAGEN,GELTOR INC,PERSIKOV ANTON V;;OUZOUNOV NIKOLAY;;LORESTANI ALEXANDER,GELTOR INC (2019-10-16),https://lens.org/080-527-600-417-428,Patent Application,DISCONTINUED
257,CN,A,CN 101281184 A,077-806-321-950-899,2008-10-08,2008,CN 200810053140 A,2008-05-15,2008-05-15,Multi-purpose evaluating method of plant salt resistance characteristic,TIANJIN AGRICULTURAL COLLEGE,JINGHUI YANG;;YANJUN LIU;;WEIYU ZHANG,,https://lens.org/077-806-321-950-899,Patent Application,DISCONTINUED
258,WO,A2,WO 2017/212400 A2,061-809-070-065-803,2017-12-14,2017,IB 2017053324 W,2017-06-06,2016-06-06,PROXIMITY-DEPENDENT SPLIT RNA POLYMERASES AS A VERSATILE BIOSENSOR PLATFORM,UNIV CHICAGO,DICKINSON BRYAN C;;PU JINYUE;;ZINKUS JULIA,,https://lens.org/061-809-070-065-803,Patent Application,PENDING
259,US,A1,US 2010/0297698 A1,109-543-703-371-750,2010-11-25,2010,US 68188708 A,2008-10-08,2007-10-08,SYSTEM AND METHOD FOR PRODUCING SYNTHETIC MICROORGANISMS CAPABLE OF TRANSLATING PROTEINS CONTAINING NON-STANDARD AMINO ACIDS,KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,J. CRAIG VENTER INSTITUTE INC (2010-05-24);;SYNTHETIC GENOMICS INC (2008-05-22),https://lens.org/109-543-703-371-750,Patent Application,DISCONTINUED
260,CA,A1,CA 2702061 A1,164-109-938-769-432,2009-04-16,2009,CA 2702061 A,2008-10-08,2007-10-08,SYSTEM AND METHOD FOR PRODUCING SYNTHETIC MICROORGANISMS CAPABLE OF TRANSLATING PROTEINS CONTAINING NON-STANDARD AMINO ACIDS,SYNTHETIC GENOMICS INC,KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,,https://lens.org/164-109-938-769-432,Patent Application,DISCONTINUED
261,US,A1,US 2012/0213848 A1,040-785-241-346-066,2012-08-23,2012,US 201113298251 A,2011-11-16,2010-11-16,Treatment of Infection Using Single Chain Antibody Gene Therapy,HANLEY BRIAN P,HANLEY BRIAN P,,https://lens.org/040-785-241-346-066,Patent Application,DISCONTINUED
262,WO,A1,WO 2022/238319 A1,106-011-776-613-072,2022-11-17,2022,EP 2022062467 W,2022-05-09,2021-05-12,IMPROVED PROTEIN PURIFICATION,CYTIVA BIOPROCESS R & D AB,LUNDBACK PETER;;OHMAN JOHAN,,https://lens.org/106-011-776-613-072,Patent Application,PENDING
263,CN,A,CN 109243528 A,172-664-930-163-703,2019-01-18,2019,CN 201810921093 A,2018-08-14,2018-08-14,Biological process control method based on knowledge map directed graph,ZHANG XUBEI,ZHANG SILIANG;;ZHANG XUBEI,,https://lens.org/172-664-930-163-703,Patent Application,ACTIVE
264,WO,A1,WO 2017/011550 A1,110-421-668-621-258,2017-01-19,2017,US 2016/0042084 W,2016-07-13,2015-07-13,METHODS OF MAKING RED BLOOD CELLS AND PLATELETS IN VITRO AND USES THEREOF,UNIV UTAH RES FOUND,DEANS TARA L,,https://lens.org/110-421-668-621-258,Patent Application,PENDING
265,CN,A,CN 113621666 A,110-479-747-774-211,2021-11-09,2021,CN 202110976498 A,2021-08-24,2021-08-24,Method for biosynthesizing laminaribiose,UNIV SHANDONG,FANG XU;;DU ZHIQIANG;;LIU ZHENGYAO,,https://lens.org/110-479-747-774-211,Patent Application,PENDING
266,WO,A1,WO 2021/175756 A1,145-460-007-704-648,2021-09-10,2021,EP 2021054989 W,2021-03-01,2020-03-04,SHUTTLE VECTOR FOR EXPRESSION IN E. COLI AND BACILLI,BASF SE,FELLE MAX FABIAN;;SAUER CHRISTOPHER;;WELSCH NORMA;;APPELBAUM MATHIS;;SCHWEDER THOMAS,,https://lens.org/145-460-007-704-648,Patent Application,PENDING
267,WO,A1,WO 2014/125290 A1,025-223-466-640-241,2014-08-21,2014,GB 2014050435 W,2014-02-14,2013-02-14,SCAFFOLD PROTEINS DERIVED FROM PLANT CYSTATINS,UNIV LEEDS,MCPHERSON MICHAEL;;TOMLINSON DARREN,,https://lens.org/025-223-466-640-241,Patent Application,PENDING
268,CN,A,CN 104130777 A,136-795-138-963-760,2014-11-05,2014,CN 201310159428 A,2013-05-03,2013-05-03,"Fluorescent carbon dots, synthetic method thereof and application thereof in cell marking",UNIV CAPITAL MEDICAL SCIENCES,GU WEI;;GUAN WEIWEI;;XUE MING;;YE LING,,https://lens.org/136-795-138-963-760,Patent Application,ACTIVE
269,WO,A1,WO 2022/034070 A1,118-236-350-867-414,2022-02-17,2022,EP 2021072264 W,2021-08-10,2020-08-10,PRODUCTION OF A SIALYLATED OLIGOSACCHARIDE MIXTURE BY A CELL,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/118-236-350-867-414,Patent Application,PENDING
270,WO,A1,WO 2021/152301 A1,034-328-571-560-734,2021-08-05,2021,GB 2021050184 W,2021-01-27,2020-01-29,GENE SWITCHES AND CIRCUITS FOR USE IN MYCOPLASMA SPECIES,IMP COLLEGE INNOVATIONS LTD,ISALAN MARK;;BROTO HERNANDEZ ALICIA,,https://lens.org/034-328-571-560-734,Patent Application,PENDING
271,CN,A,CN 111100806 A,157-809-521-918-950,2020-05-05,2020,CN 201910963026 A,2019-10-11,2019-10-11,Areca nut root rot fungicide taking lysinibacillus boronitolerans as base cells,UNIV HAINAN,LI HONG;;GAO YUXIAO;;LIU ZHU;;MA XIANG;;TANG YANQIONG;;YAN CHENGLIANG;;LEI JUNXIA;;LIN MIN,,https://lens.org/157-809-521-918-950,Patent Application,ACTIVE
272,WO,A3,WO 2020/209797 A3,081-034-481-535-683,2020-11-12,2020,SG 2020050216 W,2020-04-08,2019-04-08,USING SYNTHETIC LIXIVIANT BIOLOGY FOR THE RECOVERY OF PRECIOUS AND TOXIC METALS FROM ANTHROPOGENIC SOURCES,NAT UNIV SINGAPORE,YEW WEN SHAN;;GO MAYBELLE DARLENE KHO;;LIOW LU TING;;RAJASABHAI RASHMI,,https://lens.org/081-034-481-535-683,Search Report,PENDING
273,US,A1,US 2022/0251510 A1,136-212-233-351-570,2022-08-11,2022,US 202217721690 A,2022-04-15,2015-07-13,METHODS OF MAKING RED BLOOD CELLS AND PLATELETS IN VITRO AND USES THEREOF,UNIV UTAH RES FOUND,DEANS TARA L,,https://lens.org/136-212-233-351-570,Patent Application,PENDING
274,US,A1,US 2014/0154776 A1,098-782-741-406-206,2014-06-05,2014,US 201414171157 A,2014-02-03,2008-04-22,Stable Lysis Buffer Mixture for Extracting Nucleic Acids,BENDZKO PETER;;JOOS HANS,BENDZKO PETER;;JOOS HANS,INVITEK MOLECULAR GMBH (2019-03-01);;STRATEC SE (2018-05-30),https://lens.org/098-782-741-406-206,Patent Application,ACTIVE
275,US,A1,US 2022/0205062 A1,116-669-499-239-732,2022-06-30,2022,US 202017601802 A,2020-04-08,2019-04-08,USING SYNTHETIC LIXIVIANT BIOLOGY FOR THE RECOVERY OF PRECIOUS AND TOXIC METALS FROM ANTHROPOGENIC SOURCES,NAT UNIV SINGAPORE,YEW WEN SHAN;;GO MAYBELLE DARLENE KHO;;LIOW LU TING;;RAJASABHAI RASHMI,NATIONAL UNIVERSITY OF SINGAPORE (2020-06-03),https://lens.org/116-669-499-239-732,Patent Application,PENDING
276,WO,A2,WO 2016/193954 A2,099-969-313-959-61X,2016-12-08,2016,IB 2016053295 W,2016-06-05,2015-06-05,GENETIC SYSTEM FOR THE PRODUCTION OF LEUPEPTIN AND ITS USE FOR HETEROLOGOUS PROTEIN PRODUCTION,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL INST POLITÉCNICO NAC,CRUZ MORALES PABLO;;BARONA GÓMEZ FRANCISCO;;RAMOS ABOITES HILDA ERÉNDIRA;;MORALES ESCALANTE MARCO ANTONIO,,https://lens.org/099-969-313-959-61X,Patent Application,PENDING
277,US,A1,US 2022/0124963 A1,066-083-700-023-328,2022-04-28,2022,US 202117511288 A,2021-10-26,2020-10-26,"SYSTEMS, METHODS, AND APPARATUSES FOR IMPLEMENTING AUTOMATED DATA MODELING AND SCALING OF A SOIL HEALTH DATA FABRIC",UNIV ARIZONA STATE,TAYLOR TODD;;IKLE MATTHEW;;BRANDT WILLIAM,,https://lens.org/066-083-700-023-328,Patent Application,PENDING
278,EP,B1,EP 3149451 B1,006-651-618-204-53X,2019-02-20,2019,EP 15727049 A,2015-05-28,2014-05-28,IMPROVED MOLECULAR DETECTION SYSTEM,UNIV BIRMINGHAM,DAFFORN TIMOTHY;;HICKS MATTHEW,,https://lens.org/006-651-618-204-53X,Granted Patent,ACTIVE
279,WO,A3,WO 2016/193954 A3,106-303-959-409-810,2017-01-26,2017,IB 2016053295 W,2016-06-05,2015-06-05,GENETIC SYSTEM FOR THE PRODUCTION OF LEUPEPTIN AND ITS USE FOR HETEROLOGOUS PROTEIN PRODUCTION,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL INST POLITÉCNICO NAC,CRUZ MORALES PABLO;;BARONA GÓMEZ FRANCISCO;;RAMOS ABOITES HILDA ERÉNDIRA;;MORALES ESCALANTE MARCO ANTONIO,,https://lens.org/106-303-959-409-810,Search Report,PENDING
280,MX,A,MX 2015007201 A,187-087-614-552-712,2016-12-05,2016,MX 2015007201 A,2015-06-05,2015-06-05,GENETIC SYSTEM FOR THE PRODUCTION OF LEUPEPTIN AND ITS USE FOR HETEROLOGOUS PROTEIN PRODUCTION.,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL I P N,PABLO CRUZ MORALES;;FRANCISCO BARONA GÓMEZ;;HILDA ERÉNDIRA RAMOS ABOITES;;MARCO ANTONIO MORALES ESCALANTE,,https://lens.org/187-087-614-552-712,Patent Application,PENDING
281,US,A,US 4822681 A,173-134-360-115-707,1989-04-18,1989,US 919587 A,1987-01-29,1986-01-29,Activated polymer solid bodies and processes for the production thereof,LEIPZIG ARZNEIMITTEL,SCHOESSLER WERNER;;BOEDEN HANS-FRIEDRICH;;HOLTZHAUER MARTIN;;LOTH FRITZ;;HIEPE FALK;;BERTRAM DIETER;;MIELKE FRANK;;MUELLER REINHARD;;KONJUCHOWA DAGMAR,VEB LEIPZIGER ARZNEIMITTELWERK 7050 LEIPZIG GERMAN DEMOCRATIC REPUBLIC (1987-05-22),https://lens.org/173-134-360-115-707,Granted Patent,EXPIRED
282,CN,A,CN 109232693 A,038-852-432-977-528,2019-01-18,2019,CN 201811143066 A,2018-09-28,2018-09-28,Synthetic method of nucleoside tetraphosphate,UNIV SHANGHAI JIAOTONG,SHEN YUMEI;;SHI JINGWEN;;TANG BOWEI,,https://lens.org/038-852-432-977-528,Patent Application,DISCONTINUED
283,RU,C1,RU 2670280 C1,056-796-193-068-376,2018-10-22,2018,RU 2017145862 A,2017-12-26,2017-12-26,SET OF SYNTHETIC OLIGONUCLEOTIDES FOR IDENTIFICATION OF LACTOBACILLUS SPECIALES DNA IN VAGINAL MUCOSA,OBSHCHESTVO S OGRANICHENNOJ OTVETSTVENNOSTYU NEKSTBIO,KONOVALOV ANDREJ SERGEEVICH;;DYAKOV LEONID MAKSIMOVICH,,https://lens.org/056-796-193-068-376,Granted Patent,INACTIVE
284,US,A1,US 2022/0396817 A1,094-909-270-509-611,2022-12-15,2022,US 202117904189 A,2021-02-12,2020-02-14,PRODUCTION OF GLYCOSYLATED PRODUCT IN HOST CELLS,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF,INBIOSE N.V (2022-06-16),https://lens.org/094-909-270-509-611,Patent Application,PENDING
285,CN,A,CN 104805049 A,010-634-688-429-531,2015-07-29,2015,CN 201510146582 A,2012-11-09,2011-11-14,Method for Producing Myo-Inositol and Myo-Inositol Derivative,ASAHI KASEI CHEMICALS CORP,KONISHI KAZUNOBU;;IMAZU SHINICHI;;SATO MAYUMI,,https://lens.org/010-634-688-429-531,Patent Application,ACTIVE
286,WO,A1,WO 2021/068555 A1,056-531-921-885-662,2021-04-15,2021,CN 2020097734 W,2020-06-23,2019-10-11,ARECA NUT PALM ROOT ROT FUNGICIDE PREPARED USING LYSINIBACILLUS BORONITOLERANS AS BASE CELLS,UNIV HAINAN,MA XIANG;;GAO YUXIAO;;LIU ZHU;;LI HONG;;TANG YANQIONG;;YAN CHENGLIANG;;LEI JUNXIA;;LIN MIN,,https://lens.org/056-531-921-885-662,Patent Application,PENDING
287,US,A1,US 2016/0194667 A1,053-207-070-232-538,2016-07-07,2016,US 201615076830 A,2016-03-22,2011-11-14,Method for Producing Myo-Inositol and Myo-Inositol Derivative,ASAHI KASEI CHEMICALS CORP,KONISHI KAZUNOBU;;IMAZU SHINICHI;;SATO MAYUMI,,https://lens.org/053-207-070-232-538,Patent Application,ACTIVE
288,RU,C1,RU 2453309 C1,039-484-763-189-235,2012-06-20,2012,RU 2011118520 A,2011-05-11,2011-05-11,AGENT POSSESSING CYTOTOXIC ACTIVITY ON HUMAN CANCER CELLS IN CULTURE,G OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA PUSHCHINSKIJ GU,MOSHKOV DMITRIJ ALEKSEEVICH;;PARNYSHKOVA EKATERINA JUR EVNA,,https://lens.org/039-484-763-189-235,Granted Patent,INACTIVE
289,CN,A,CN 114591923 A,042-202-330-637-493,2022-06-07,2022,CN 202210502557 A,2022-05-10,2022-05-10,Cannabidiol acid synthetase mutant as well as construction method and application thereof,SENRISS BIOTECHNOLOGY SHENZHEN LTD COMPANY,XU RUFANG;;AO YUE;;CHEN JIAWEI;;HU JINYU;;LUO XIAOZHOU,,https://lens.org/042-202-330-637-493,Patent Application,ACTIVE
290,US,B2,US 9593325 B2,070-627-280-502-601,2017-03-14,2017,US 201414171157 A,2014-02-03,2008-04-22,Stable lysis buffer mixture for extracting nucleic acids,BIRGIT BENDZKO;;JOOS HANS;;STRATEC BIOMEDICAL AG,BENDZKO PETER;;JOOS HANS,INVITEK MOLECULAR GMBH (2019-03-01);;STRATEC SE (2018-05-30),https://lens.org/070-627-280-502-601,Granted Patent,ACTIVE
291,US,B2,US 9994871 B2,166-373-238-344-99X,2018-06-12,2018,US 201615076830 A,2016-03-22,2011-11-14,Method for producing myo-inositol and myo-inositol derivative,ASAHI KASEI CHEMICALS CORP,KONISHI KAZUNOBU;;IMAZU SHINICHI;;SATO MAYUMI,,https://lens.org/166-373-238-344-99X,Granted Patent,ACTIVE
