"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
168,CN,A,CN 1476894 A,029-419-289-435-182,2004-02-25,2004,CN 03126706 A,2003-05-30,2003-05-30,SARS epidemic lung tissue cytoplasmic bacterium purified and refined series vacine and its production method,YU GUOHUA,YU GUOHUA,,https://lens.org/029-419-289-435-182,DISCONTINUED
169,TW,A,TW 202221134 A,031-726-217-300-504,2022-06-01,2022,TW 110129456 A,2021-08-10,2020-08-10,Production of galactosylated di- and oligosaccharides,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/031-726-217-300-504,PENDING
170,US,A1,US 2022/0250063 A1,109-006-537-560-068,2022-08-11,2022,US 202217669251 A,2022-02-10,2021-02-10,"ASSAY SYSTEM, METHODS, AND MULTI-WELL PLATE FOR GAS STIMULATION OF BIOLOGICAL CELLS, PROTEINS OR MATERIALS",KONIKU INC,AGABI OSHIORENOYA E;;PARTHASARATHY VIVEK,KONIKU INC (2021-03-02),https://lens.org/109-006-537-560-068,PENDING
171,CN,A,CN 109554415 A,176-034-025-302-207,2019-04-02,2019,CN 201710886608 A,2017-09-27,2017-09-27,Method for increasing thaxtomin fermentation yield,INST MICROBIOLOGY CAS,LOU CHUNBO;;ZHAO XUEJIN,,https://lens.org/176-034-025-302-207,ACTIVE
172,CN,A,CN 105647912 A,155-638-490-290-294,2016-06-08,2016,CN 201410718616 A,2014-12-01,2014-12-01,Acid resistance expression cassette and screening method thereof,UNIV TSINGHUA;;COFCO NUTRITION & HEALTH RES INST CO LTD;;COFCO BIOCHEMICAL (ANHUI) CO LTD;;COFCO CORP,LIN ZHANGLIN;;LI RIZONG;;ZHANG YAN;;HAO XIAOMING;;LIN HAILONG;;CHEN BO;;LUO ZHIBO;;SU HUIBO;;AN TAI;;ZHENG XIN;;HE TAIBO;;LU ZONGMEI;;WU XIAOYAN,,https://lens.org/155-638-490-290-294,PENDING
173,TW,A,TW 202221131 A,173-475-994-257-163,2022-06-01,2022,TW 110129386 A,2021-08-10,2020-08-10,Production of an oligosaccharide mixture by a cell,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/173-475-994-257-163,PENDING
174,TW,A,TW 202219275 A,043-497-083-392-405,2022-05-16,2022,TW 110129455 A,2021-08-10,2020-08-10,Production of GlcNAc containing bioproducts in a cell,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/043-497-083-392-405,PENDING
175,CN,A,CN 105420266 A,089-381-536-806-987,2016-03-23,2016,CN 201510903801 A,2015-12-09,2015-12-09,Method for constructing high-producing strains of genetic engineering salinomycins,UNIV ZHEJIANG,LI YONGQUAN;;GUAN WENJUN;;LI HAN;;ZHU ZHENHONG,,https://lens.org/089-381-536-806-987,DISCONTINUED
176,RU,C1,RU 2658014 C1,012-387-602-977-359,2018-06-19,2018,RU 2017139053 A,2017-11-09,2017-11-09,SYNTHETIC ANALOGUE OF NATURAL PEPTIDE ANALGESIC OF ENKEPHALIN WITH HIGHER AND PROLONGED ANESTHETIC EFFECT,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE PETERBURGSKIJ INST YADERNOJ FIZIKI IM B P KONSTA,KROPOTOVA EKATERINA SERGEEVNA;;MOSEVITSKIJ MARK ISAAKOVICH;;KARPENKO MARINA NIKOLAEVNA;;OBLAMSKAYA IRINA SERGEEVNA,,https://lens.org/012-387-602-977-359,ACTIVE
177,WO,A1,WO 2004/029238 A1,126-125-399-951-666,2004-04-08,2004,EP 0310545 W,2003-09-23,2002-09-24,"HUMAN TISSUE KALLIKREIN-SPECIFIC IMMUNOGLOBULIN, IMMUNOLOGIC FORMULATION COMPRISING THE IMMUNOGLOBULIN AND RELATED DIAGNOSTIC KIT FOR THE DIAGNOSIS OF CEREBRAL ISCHEMIA",ANGIOPROGEN S R L;;EMANUELI COSTANZA;;MADEDDU PAOLO;;CHAO JULIE;;CHAO LEE;;PORCU PAOLO,EMANUELI COSTANZA;;MADEDDU PAOLO;;CHAO JULIE;;CHAO LEE;;PORCU PAOLO,,https://lens.org/126-125-399-951-666,PENDING
178,EP,B1,EP 0136353 B1,144-315-766-071-83X,1989-04-05,1989,EP 84901363 A,1984-03-23,1983-03-24,SERUM-FREE ANIMAL CELL CULTURE MEDIUM AND METHOD FOR THE PRIMARY CULTURE AND OBTENTION OF CELL LINES USING SUCH MEDIUM,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),"CHESSEBEUF, MARTINE;;PADIEU, PRUDENT",,https://lens.org/144-315-766-071-83X,EXPIRED
179,US,B2,US 11214788 B2,174-192-003-721-890,2022-01-04,2022,US 201916968338 A,2019-01-30,2018-02-09,"Tripterygium wilfordii cryptomeridiol synthase, coding gene thereof and recombinant yeast containing coding gene",CAPITAL MEDICAL UNIV,GAO WEI;;HUANG LUQI;;TONG YURU;;HU TIANYUAN,CAPITAL MEDICAL UNIVERSITY (2020-07-23),https://lens.org/174-192-003-721-890,ACTIVE
180,CN,A,CN 109097357 A,191-209-304-213-632,2018-12-28,2018,CN 201811050422 A,2018-09-10,2018-09-10,"Artificially synthetic MAR (matrix attachment region) consensus sequence, expression vector, expression system and applications of expression vector and expression system",UNIV XINXIANG MEDICAL,WANG TIANYUN;;GUO XIAO;;TIAN ZHENGWEI;;JIA YANLONG;;WANG FANG;;SONG CHAO;;WANG XIAOYIN,,https://lens.org/191-209-304-213-632,ACTIVE
181,US,A1,US 2022/0348939 A1,196-387-624-976-384,2022-11-03,2022,US 201917295045 A,2019-10-22,2019-07-30,"CRISPR-Cas system for genome editing in Zymomonas mobilis, and applications thereof",UNIV HUBEI,YANG SHIHUI;;PENG WENFANG;;SHEN WEI;;ZHENG YANLI;;YI LI;;MA LIXIN,,https://lens.org/196-387-624-976-384,PENDING
182,CN,A,CN 107522628 A,101-480-705-688-050,2017-12-29,2017,CN 201710850497 A,2017-09-20,2017-09-20,Synthetic method of L-3-(6-acethyl-2-naphthylamino)-2-aminopropionic acid,GL BIOCHEM SHANGHAI CO LTD,XU HONGYAN;;ZHOU GUOMING;;MA JINGXIANG,,https://lens.org/101-480-705-688-050,DISCONTINUED
183,CN,A,CN 112481178 A,169-674-808-202-458,2021-03-12,2021,CN 202011374464 A,2020-11-30,2020-11-30,Construction and fermentation optimization method of amino-bis-demethoxycurcumin high-yield strain,UNIV SHANGHAI JIAOTONG,KANG QIANJIN;;HU XIAOJING;;OU YIXIN;;BAI LINQUAN,,https://lens.org/169-674-808-202-458,ACTIVE
184,CN,A,CN 113088502 A,010-928-051-244-920,2021-07-09,2021,CN 202110446073 A,2021-04-25,2021-04-25,Glycosylated transferase gene of rhizoma panacis majoris and application thereof,UNIV WUHAN POLYTECHNIC,ZHANG SHAOPENG;;JIANG PENG;;REN RUIFANG;;ZUO TIAN;;ZHANG ZUO;;ZHANG RUI;;SHI MENGHUA;;ZHENG HANYU;;CHEN PING;;CHENG SHUIYUAN,,https://lens.org/010-928-051-244-920,PENDING
185,CN,A,CN 108265035 A,027-945-474-466-48X,2018-07-10,2018,CN 201611255844 A,2016-12-30,2016-12-30,Method for evolving host specificity of bacteriophage,SHENZHEN INST ADV TECH,LIU CHENLI;;XIAO MINFENG;;SUN CHENJIAN,,https://lens.org/027-945-474-466-48X,DISCONTINUED
186,RU,C1,RU 2703545 C1,067-410-562-384-388,2019-10-21,2019,RU 2019117208 A,2019-06-03,2019-06-03,"SET OF SYNTHETIC OLIGONUCLEOTIDES FOR DETERMINING THE SEQUENCE OF HLA-A, HLA-B, HLA-C, HLA-DQB1, HLA-DRB1 MAIN HISTOCOMPATIBILITY COMPLEX GENES",PARSEQ LAB CO LTD,PAVLOV ALEXANDER EVGENIEVICH;;GLUSHKOVA MARIIA ALEXANDROVNA;;SIMAKOVA TAMARA SERGEEVNA;;MOZGOV SERGEI SERGEEVICH;;LOGINOVA MARIIA ALEXANDROVNA,,https://lens.org/067-410-562-384-388,ACTIVE
187,CN,A,CN 113528699 A,044-847-984-600-762,2021-10-22,2021,CN 202110798056 A,2021-07-14,2021-07-14,Marker combination and application thereof in mitosis recombination hotspot detection,UNIV TIANJIN,YUAN YINGJIN;;XIE ZEXIONG;;FU JUAN;;XIE XINYAN,,https://lens.org/044-847-984-600-762,ACTIVE
188,CN,Y,CN 2477079 Y,064-449-957-305-081,2002-02-20,2002,CN 01238584 U,2001-03-30,2001-03-30,Disposable degradation chopsticks,PAN LIJUN,PAN LIJUN;;ZHANG BOZENG,,https://lens.org/064-449-957-305-081,EXPIRED
189,CN,A,CN 110408642 A,182-820-919-328-68X,2019-11-05,2019,CN 201910692120 A,2019-07-30,2019-07-30,Method for highly efficiently deleting large fragments of genome based on endogenous CRISPR-Cas system of zymomonas mobilis and application thereof,UNIV HUBEI,PENG WENFANG;;YANG SHIHUI;;ZHENG YANLI;;YI LI;;MA LIXIN,,https://lens.org/182-820-919-328-68X,ACTIVE
190,CN,A,CN 105087625 A,197-308-201-097-562,2015-11-25,2015,CN 201410209110 A,2014-05-16,2014-05-16,Genetic conversion method of halophilic and basophilic sulfur alkali vibrio,INST PROCESS ENG CAS,XING JIANMIN;;XU XIAOHUI;;MU TINGZHEN;;SONG ZIYU;;WU DAN,,https://lens.org/197-308-201-097-562,ACTIVE
191,US,A1,US 2021/0363545 A1,181-355-733-405-002,2021-11-25,2021,US 201917252164 A,2019-06-07,2018-06-19,GENETIC SELECTION MARKERS BASED ON ENZYMATIC ACTIVITIES OF THE PYRIMIDINE SALVAGE PATHWAY,MEDIZINISCHE UNIV INNSBRUCK,GSALLER FABIO;;HAAS HUBERTUS,MEDIZINISCHE UNIVERSITÄT INNSBRUCK (2020-11-27),https://lens.org/181-355-733-405-002,PENDING
192,US,B2,US 9080187 B2,010-864-072-672-166,2015-07-14,2015,US 15402708 A,2008-05-19,2007-05-17,Methods and compositions for producing solvents,BLASCHEK HANS P;;STODDARD STEVEN F;;SHI ZHEN;;UNIV ILLINOIS;;EASTMAN RENEWABLE MATERIALS LLC,BLASCHEK HANS P;;STODDARD STEVEN F;;SHI ZHEN,EASTMAN RENEWABLE MATERIALS LLC (2011-10-28);;THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS (2011-09-28);;TETRAVITAE BIOSCIENCE INC (2008-08-28),https://lens.org/010-864-072-672-166,ACTIVE
193,AU,A1,AU 2014/216024 A1,114-492-336-326-790,2014-09-11,2014,AU 2014/216024 A,2014-08-22,2008-05-19,Methods and compositions for producing solvents,EASTMAN RENEWABLE MATERIALS LLC;;UNIV ILLINOIS,BLASCHEK HANS P;;SHI ZHEN;;STODDARD STEVEN F,,https://lens.org/114-492-336-326-790,DISCONTINUED
194,TW,A,TW 202221138 A,148-922-047-382-148,2022-06-01,2022,TW 110129391 A,2021-08-10,2020-08-10,Production of a sialylated oligosaccharide mixture by a cell,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/148-922-047-382-148,PENDING
195,RU,A,RU 94024845 A,021-411-323-291-34X,1996-05-27,1996,RU 94024845 A,1994-07-01,1994-07-01,IMPROVED METHOD OF DIFFERENTIATION OF VACCINE AND PATHOGEN STRAINS OF CATTLE BRUCELLI,KZ VETERINARNYJ INST IM N EH BAUMANA,FAIZOV T KH;;IDRISOV G Z;;MULLAKAEV O T;;ALIMOV A M,,https://lens.org/021-411-323-291-34X,EXPIRED
196,RU,C1,RU 2663454 C1,033-193-142-371-802,2018-08-06,2018,RU 2017145860 A,2017-12-26,2017-12-26,SET OF SYNTHETIC OLIGONUCLEOTIDES FOR QUANTITATIVE DETERMINATION OF DNA OF VULVOVAGINAL CANDIDIASIS CAUSATIVE AGENTS IN MUCOIUS MEMBRANES OF VAGINA,OBSHCHESTVO S OGRANICHENNOJ OTVETSTVENNOSTYU NEKSTBIO,KONOVALOV ANDREJ SERGEEVICH;;DYAKOV LEONID MAKSIMOVICH,,https://lens.org/033-193-142-371-802,INACTIVE
197,CN,A,CN 102453067 A,147-406-889-484-004,2012-05-16,2012,CN 201010524767 A,2010-10-29,2010-10-29,Preparation method and application of NAD+(nicotinamide adenine dinucleotide) analogues,DALIAN CHEMICAL PHYSICS INST,ZONGBAO ZHAO;;DEBIN JI;;SHUHUA HOU;;WUJUN LIU,,https://lens.org/147-406-889-484-004,ACTIVE
198,WO,A1,WO 2014/032748 A1,128-275-529-315-69X,2014-03-06,2014,EP 2013001931 W,2013-07-02,2012-08-31,PROCESS OF CARTILAGE REPAIR,ETH ZUERICH,MILLAN CHRISTOPHER;;MIRANDA-NIEVES DAVID;;ZENOBI-WONG MARCY;;YANG YUAN;;GROTH THOMAS,,https://lens.org/128-275-529-315-69X,PENDING
199,WO,A2,WO 2012/068071 A2,074-637-007-472-143,2012-05-24,2012,US 2011/0060736 W,2011-11-15,2010-11-15,MODÈLES DE CO-CULTURE UROGÉNITALE IN VITRO,SANOFI PASTEUR VAXDESIGN CORP;;UNIV ARIZONA STATE;;MAHMOOD AYESHA;;HERBST-KRALOVETZ MELISSA M;;WARREN WILLIAM,MAHMOOD AYESHA;;HERBST-KRALOVETZ MELISSA M;;WARREN WILLIAM,,https://lens.org/074-637-007-472-143,PENDING
200,WO,A1,WO 2022/119945 A1,069-249-295-260-456,2022-06-09,2022,US 2021/0061440 W,2021-12-01,2020-12-02,MICROFLUIDIC DETERMINATION OF HETEROGENEOUS OBJECTS,AMBERSTONE BIOSCIENCES INC,WU GEORGE;;HEDDE PER NIKLAS;;CHEN XIAOMING,,https://lens.org/069-249-295-260-456,PENDING
201,US,A1,US 2022/0064658 A1,013-023-198-327-731,2022-03-03,2022,US 202117147794 A,2021-01-13,2020-08-28,AUTOTROPHIC NITROGEN FIXATION GENES AND AN AUTOTROPHIC NITROGENASE EXPRESSION CASSETTE FOR PLANTS AND USES THEREOF,SHANGHAI ACAD AGRI SCIENCES,YAO QUANHONG;;PENG RIHE;;GAO JIANJIE;;TIAN YONGSHENG;;WANG BO;;WANG LIJUAN;;FU XIAOYAN;;LI ZHENJUN;;HAN HONGJUAN;;XU JING;;ZHANG FUJIAN;;ZHANG WENHUI;;DENG YONGDONG;;WANG YU,SHANGHAI ACADEMY OF AGRICULTURAL SCIENCES (2020-12-18),https://lens.org/013-023-198-327-731,ACTIVE
202,CN,A,CN 114901825 A,116-983-961-943-769,2022-08-12,2022,CN 202080088114 A,2020-12-18,2019-12-18,Production of sialylated oligosaccharides in host cells,INBIOS INC,BEAUPREZ JORDI;;COUSSEMENT PIETER;;DECONE THIERRY;;VERCAUTEREN ANNELIES,,https://lens.org/116-983-961-943-769,PENDING
203,US,B2,US 11059044 B2,123-152-751-400-754,2021-07-13,2021,US 202017089052 A,2020-11-04,2019-05-31,Microfluidic determination of low abundance events,AMBERSTONE BIOSCIENCES INC,WU GEORGE GUIKAI;;SHADPOUR HAMED;;HEDDE PER NIKLAS,AMBERSTONE BIOSCIENCES INC (2020-06-08),https://lens.org/123-152-751-400-754,ACTIVE
204,CN,A,CN 113817628 A,182-296-007-740-569,2021-12-21,2021,CN 202110816707 A,2021-07-20,2021-07-20,Mango stem rot germ bactericide and application thereof,UNIV HAINAN,LIU ZHU;;CHEN YINHUA;;CAO XIN;;MA XIANG;;WANG DAN;;LI HONG;;TANG YANQIONG;;TANG HONGQIAN;;GAO YUXIAO;;LIN MIN,,https://lens.org/182-296-007-740-569,ACTIVE
205,TW,A,TW 202212572 A,155-697-201-869-583,2022-04-01,2022,TW 110129390 A,2021-08-10,2020-08-10,Production of a mixture of neutral fucosylated oligosaccharides by a cell,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/155-697-201-869-583,PENDING
206,CN,A,CN 113698445 A,032-626-077-398-893,2021-11-26,2021,CN 202111258673 A,2021-10-28,2021-10-28,"Ivermectin hapten, artificial antigen and preparation method and application of ivermectin hapten and artificial antigen",XINDAON TESTING TECH TIANJIN CO LTD,LI JIAMEI;;DONG NAIHUA;;WANG YAJUAN;;GUO ZHIXIONG;;GE HUAINA;;WEI JIYANG;;QIU YATING;;SUN HUIJIE,,https://lens.org/032-626-077-398-893,ACTIVE
207,CN,A,CN 114213489 A,108-613-355-262-578,2022-03-22,2022,CN 202111484703 A,2021-12-07,2021-12-07,Phosphamide deoxynucleotide and application thereof,UNIV SHANDONG,JI DEBIN;;MENG JIONG;;GUO QIAQIA;;LOU ZHANGRONG,,https://lens.org/108-613-355-262-578,PENDING
208,CN,A,CN 113388631 A,153-082-614-968-615,2021-09-14,2021,CN 202010169827 A,2020-03-12,2020-03-12,High-yield IgG1 recombinant bacterium and construction method thereof,UNIV TIANJIN,SONG HAO;;ZHANG JINHUA,,https://lens.org/153-082-614-968-615,ACTIVE
209,EP,A1,EP 3954769 A1,176-215-271-170-433,2022-02-16,2022,EP 20190205 A,2020-08-10,2020-08-10,PRODUCTION OF OLIGOSACCHARIDE MIXTURES BY A CELL,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF,,https://lens.org/176-215-271-170-433,PENDING
210,TW,A,TW 202221133 A,163-056-903-448-054,2022-06-01,2022,TW 110129392 A,2021-08-10,2020-08-10,Production of a mixture of neutral non-fucosylated oligosaccharides by a cell,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/163-056-903-448-054,PENDING
211,WO,A1,WO 2023/285650 A1,046-338-127-434-322,2023-01-19,2023,EP 2022069849 W,2022-07-15,2021-07-16,LACTO-N-BIOSE CONVERTING FUCOSYLTRANSFERASES,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/046-338-127-434-322,PENDING
212,RU,C2,RU 2556832 C2,007-412-949-480-705,2015-07-20,2015,RU 2013127027 A,2013-06-06,2013-06-06,SET OF SYNTHETIC OLIGONUCLEOTIDES FOR DETECTING NUCLEOTIDE SEQUENCE OF CODING PORTION OF DES GENE AND IDENTIFYING MUTATIONS ASSOCIATED WITH DESMIN-RELATED CARDIOMYOPATHIES,FEDERAL NOE G BJUDZHETNOE UCHREZHDENIE FEDERAL NYJ TS SERDTSA KROVI I EHNDOKRINOLOGII IM V A ALMAZOV,KOSTAREVA ANNA ALEKSANDROVNA;;SMOLINA NATAL JA ALEKSANDROVNA;;MALASHICHEVA ANNA BORISOVNA;;URUSOVA MARIJA EVGEN EVNA;;KISELEV ARTEM MIKHAJLOVICH,,https://lens.org/007-412-949-480-705,INACTIVE
213,US,A1,US 2022/0403431 A1,146-198-971-393-881,2022-12-22,2022,US 202117904213 A,2021-02-12,2020-02-14,GLYCOMINIMIZED BACTERIAL HOST CELLS,INBIOSE NV,BEAUPREZ JOERI;;DE MAESENEIRE SOFIA;;SNOECK NICO,INBIOSE N.V (2022-06-16),https://lens.org/146-198-971-393-881,PENDING
214,EP,A1,EP 3954778 A1,183-462-591-305-490,2022-02-16,2022,EP 20190203 A,2020-08-10,2020-08-10,PRODUCTION OF A MIXTURE OF NEUTRAL NON-FUCOSYLATED OLIGOSACCHARIDES BY A CELL,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;PETERS GERT,,https://lens.org/183-462-591-305-490,PENDING
215,CN,A,CN 114990148 A,180-562-539-642-691,2022-09-02,2022,CN 202210835174 A,2022-07-15,2022-07-15,Plasmid applied to Nocardia simplex and screening and testing method thereof,UNIV NANTONG,LU ZHIQUN;;XU JIANJUN;;DENG ZIFA,,https://lens.org/180-562-539-642-691,PENDING
216,RU,C1,RU 2134582 C1,010-657-714-474-435,1999-08-20,1999,RU 97107229 A,1997-05-06,1997-05-06,METHOD OF STIMULATION OF HEPATIC TISSUE REGENERATION,NIZHEGORODSKAJA G MED AKA;;DEMIJA;;SHILENOK IVAN GRIGOR EVICH,SHILENOK I G;;SADOVNIKOVA V V;;SOLOPAEVA I M;;SADOVNIKOVA I V;;SNOPOVA L B;;PANINA N A;;BYKOVA Z V,,https://lens.org/010-657-714-474-435,EXPIRED
217,GB,A,GB 2561157 A,002-168-993-757-421,2018-10-10,2018,GB 201704835 A,2017-03-27,2017-03-27,Compartmentalised gel matrix and method of production,UNIV OXFORD INNOVATION LTD,JOHN HAGAN BAYLEY;;KUNWAR TNUJ SAPRA,,https://lens.org/002-168-993-757-421,DISCONTINUED
218,CN,A,CN 114806911 A,107-773-565-930-307,2022-07-29,2022,CN 202210343158 A,2022-04-02,2022-04-02,Method for positioning synthesis of alpha-bisabolol by using yarrowia lipolytica mitochondrial pathway,UNIV TIANJIN SCIENCE & TECH,YU AIQUN;;ZHU KUN;;ZHAO BAIXIANG;;WANG YAPING;;ZHANG YAHUI;;ZHANG CUIYING;;XIAO DONGGUANG,,https://lens.org/107-773-565-930-307,PENDING
219,CN,A,CN 109913442 A,128-646-364-540-329,2019-06-21,2019,CN 201910205061 A,2019-03-18,2019-03-18,Method for genetically modifying intestinal primitive bacteria,UNIV TIANJIN,WANG HANJIE;;CUI MEIHUI;;CHANG JIN;;LI SHUBIN;;SUN TAO;;PAN HUIZHUO,,https://lens.org/128-646-364-540-329,DISCONTINUED
220,CN,A,CN 111979260 A,077-493-399-797-826,2020-11-24,2020,CN 202010854403 A,2020-08-24,2020-08-24,Staphylococcus carnosus plasmid for expressing fluorescent protein and construction method and application of staphylococcus carnosus plasmid,UNIV TIANJIN SCIENCE & TECH,GAO QIANG;;AN YA;;WANG HUAMIN;;XUE XIANLI,,https://lens.org/077-493-399-797-826,PENDING
221,CN,A,CN 110331158 A,144-368-215-317-249,2019-10-15,2019,CN 201910692118 A,2019-07-30,2019-07-30,Multi-gene locus simultaneous editing method based on endogenous CRISPR-Cas system of zymomonas mobilis and application thereof,UNIV HUBEI,PENG WENFANG;;YANG SHIHUI;;ZHENG YANLI;;YI LI;;MA LIXIN,,https://lens.org/144-368-215-317-249,ACTIVE
222,CN,A,CN 103497924 A,136-341-553-159-60X,2014-01-08,2014,CN 201310448520 A,2013-09-27,2013-09-27,Engineering strain for preparing specific salmonella series diagnostic serum and construction method thereof,UNIV NANKAI,FENG LU;;JIANG XINLEI;;WANG LEI,,https://lens.org/136-341-553-159-60X,ACTIVE
223,CN,A,CN 110358768 A,043-528-783-431-38X,2019-10-22,2019,CN 201910692143 A,2019-07-30,2019-07-30,Genome editing method based on zymomonas mobilis endogenous CRISPR-Cas system and application thereof,UNIV HUBEI,YANG SHIHUI;;PENG WENFANG;;ZHENG YANLI;;YI LI;;MA LIXIN,,https://lens.org/043-528-783-431-38X,ACTIVE
224,CN,A,CN 114717207 A,032-113-780-538-786,2022-07-08,2022,CN 202210436102 A,2022-04-25,2022-04-25,"Yeast cell homologous recombinase system, DNA in-vitro assembly reagent and application of yeast cell homologous recombinase system",SUZHOU SYNBIO TECH CO LTD,LIU WEIQIANG;;YANG PING;;FU YUYE;;XU YINGCHONG;;ZHANG BIN;;XU JIE;;QI JINCAI,,https://lens.org/032-113-780-538-786,ACTIVE
225,US,A1,US 2021/0012878 A1,145-261-810-142-785,2021-01-14,2021,US 202016926611 A,2020-07-10,2019-07-10,SYSTEMS AND METHODS FOR RADIATION TREATMENT PLANNER TRAINING BASED ON KNOWLEDGE DATA AND TRAINEE INPUT OF PLANNING ACTIONS,UNIV DUKE;;UNIV NORTH CAROLINA CHARLOTTE;;THE US GOV AS REPRESENTED BY THE DEPARTMENT OF VETERANS AFFAIRS,WU QINGRONG;;GE YAORONG;;YIN FANG FANG;;MISTRO MATTHEW;;SHENG YANG;;KELSEY CHRISTOPHER;;SALAMA JOSEPH,,https://lens.org/145-261-810-142-785,PENDING
226,CN,A,CN 105624786 A,194-741-996-299-720,2016-06-01,2016,CN 201610210688 A,2016-04-06,2016-04-06,Smelting method of artificially synthetic mica supersize monocrystals,JILIN L&H MEASURE AND CONTROL CO LTD,SUN GUIPING;;LYU BAOLIN;;HAN CHENGYU;;SUN LIDONG;;SUN XIANFENG;;ZHOU MINQI,,https://lens.org/194-741-996-299-720,ACTIVE
227,CN,A,CN 110741086 A,118-493-493-017-916,2020-01-31,2020,CN 201880039487 A,2018-04-19,2017-04-19,IN SILICO DESIGN OF MAMMALIAN PROMOTERS WITH USER-DEFINED FUNCTIONALITY,MEDIMMUNE LTD,BROWN ADAM J;;JAMES DAVID C;;GIBSON SUZANNE;;HATTON DIANE,,https://lens.org/118-493-493-017-916,PENDING
228,CN,A,CN 112102876 A,022-823-768-524-772,2020-12-18,2020,CN 202011035802 A,2020-09-27,2020-09-27,Method for automatically modeling gene line and transcriptional regulation relationship,UNIV XI AN JIAOTONG,YANG TIELIN;;LIU YUJIA;;LIU CONGCONG;;GUO YAN;;DONG SHANSHAN,,https://lens.org/022-823-768-524-772,ACTIVE
229,CA,C,CA 2853966 C,038-714-247-927-62X,2021-07-06,2021,CA 2853966 A,2012-11-02,2011-11-03,MULTISOMES: ENCAPSULATED DROPLET NETWORKS,ISIS INNOVATION,BAYLEY JOHN HAGAN PRYCE;;HERON ANDREW;;VILLAR GABRIEL,,https://lens.org/038-714-247-927-62X,ACTIVE
230,CA,C,CA 2983567 C,049-083-450-537-361,2021-04-13,2021,CA 2983567 A,2016-04-15,2015-04-16,NUCLEASE-MEDIATED GENOME EDITING,UNIV WAGENINGEN,VAN DER OOST JOHN,,https://lens.org/049-083-450-537-361,ACTIVE
231,WO,A1,WO 2023/070088 A1,169-320-481-909-890,2023-04-27,2023,US 2022/0078511 W,2022-10-21,2021-10-21,SYSTEMS AND METHODS FOR PET IMAGING ANALYSIS FOR BIOLOGY-GUIDED RADIOTHERAPY,REFLEXION MEDICAL INC,SHI LINXI;;DA SILVA ANGELA JANE;;HAYTMYRADOV MAKSAT;;OLCOTT PETER DEMETRI;;ZDASIUK GEORGE ANDREW,,https://lens.org/169-320-481-909-890,PENDING
232,RU,C1,RU 2670278 C1,064-765-917-057-022,2018-10-22,2018,RU 2017145853 A,2017-12-26,2017-12-26,"SET OF SYNTHETIC OLOGONUCLEOTIDES FOR QUANTITATIVE DETERMINATION OF DNA OF ENTEROBACTERIA, STAPHYLOCOCCI AND STREPTOCOCCI IN MUCOIUS MEMBRANES OF VAGINA",OOO NEKSTBIO,KONOVALOV ANDREJ SERGEEVICH;;DYAKOV LEONID MAKSIMOVICH,,https://lens.org/064-765-917-057-022,INACTIVE
